time_s,OD_AU_per_cm
2.672872340425534276e+03,7.966135758428416480e-02
2.686170212765960059e+03,8.198153903575233770e-02
2.699468085106385843e+03,8.430172048722051059e-02
2.712765957446810717e+03,8.662190193868868349e-02
2.726063829787236500e+03,8.894208339015730047e-02
2.739361702127662284e+03,9.126226484162547337e-02
2.752659574468088067e+03,9.358244629309364626e-02
2.765957446808512941e+03,9.590262774456181916e-02
2.779255319148938725e+03,9.822280919602999205e-02
2.792553191489364508e+03,1.028631720989663378e-01
2.805851063829790291e+03,1.051833535504345107e-01
2.819148936170215165e+03,1.075035350019026836e-01
2.832446808510640949e+03,1.121438979048390294e-01
2.845744680851066732e+03,1.191044422592435481e-01
2.859042553191491606e+03,1.237448051621798939e-01
2.872340425531917390e+03,1.283851680651162397e-01
2.885638297872343173e+03,1.376658938709889313e-01
2.898936170212768957e+03,1.423062567739252771e-01
2.912234042553193831e+03,1.515869825797984127e-01
2.925531914893619614e+03,1.585475269342029314e-01
2.938829787234045398e+03,1.678282527400756230e-01
2.952127659574470272e+03,1.747887970944801417e-01
2.965425531914896055e+03,1.863897043518210062e-01
2.978723404255321839e+03,1.956704301576936977e-01
2.992021276595747622e+03,2.049511559635668334e-01
3.005319148936172496e+03,2.188722446723758708e-01
3.018617021276598280e+03,2.281529704782485624e-01
3.031914893617024063e+03,2.420740591870575997e-01
3.045212765957449847e+03,2.536749664443984642e-01
3.058510638297874721e+03,2.675960551532079457e-01
3.071808510638300504e+03,2.815171438620169830e-01
3.085106382978726288e+03,2.954382325708260204e-01
3.098404255319151162e+03,3.093593212796350578e-01
3.111702127659576945e+03,3.279207728913808850e-01
3.125000000000002728e+03,3.418418616001899224e-01
3.138297872340428512e+03,3.604033132119353056e-01
3.151595744680853386e+03,3.789647648236811328e-01
3.164893617021279169e+03,3.952060349839583431e-01
3.178191489361704953e+03,4.137674865957037262e-01
3.191489361702129827e+03,4.369693011103858993e-01
3.204787234042555610e+03,4.555307527221312824e-01
3.218085106382981394e+03,4.740922043338766656e-01
3.231382978723407177e+03,4.972940188485588386e-01
3.244680851063832051e+03,5.158554704603042218e-01
3.257978723404257835e+03,5.390572849749859508e-01
3.271276595744683618e+03,5.622590994896681238e-01
3.284574468085109402e+03,5.831407325528816799e-01
3.297872340425534276e+03,6.063425470675634088e-01
3.311170212765960059e+03,6.295443615822455818e-01
3.324468085106385843e+03,6.504259946454591379e-01
3.337765957446810717e+03,6.736278091601410889e-01
3.351063829787236500e+03,6.968296236748230399e-01
3.364361702127662284e+03,7.153910752865686451e-01
3.377659574468088067e+03,7.385928898012503740e-01
3.390957446808512941e+03,7.571543414129959793e-01
3.404255319148938725e+03,7.780359744762097574e-01
3.417553191489364508e+03,7.965974260879551405e-01
