time_s,salt_mol_per_L
1.595744680851066505e+03,1.231610513751280056e-01
1.609042553191491834e+03,1.260401265344012200e-01
1.622340425531917163e+03,1.279595099739166963e-01
1.662234042553194058e+03,1.404355023307672923e-01
1.675531914893619387e+03,1.413951940505250304e-01
1.688829787234045170e+03,1.433145774900405067e-01
1.702127659574470499e+03,1.442742692097982449e-01
1.715425531914896283e+03,1.471533443690714593e-01
1.755319148936172724e+03,1.615487201654375315e-01
1.768617021276598052e+03,1.615487201654375315e-01
1.781914893617023836e+03,1.644277953247107460e-01
1.795212765957449164e+03,1.663471787642262223e-01
1.835106382978726060e+03,1.788231711210768182e-01
1.848404255319151389e+03,1.797828628408345564e-01
1.861702127659576718e+03,1.817022462803500327e-01
1.875000000000002501e+03,1.845813214396232471e-01
1.888297872340427830e+03,1.845813214396232471e-01
1.901595744680853613e+03,4.254694691547800112e-02
1.914893617021278942e+03,4.254694691547800112e-02
1.928191489361704726e+03,1.461936526493137212e-01
1.941489361702130054e+03,1.999363889557470575e-01
1.954787234042555838e+03,2.028154641150202719e-01
1.968085106382981166e+03,2.047348475545357482e-01
2.007978723404257607e+03,2.172108399113863442e-01
2.021276595744683391e+03,2.184904288710632914e-01
2.034574468085108720e+03,2.200899150706594476e-01
2.047872340425534503e+03,2.229689902299326620e-01
2.061170212765960059e+03,2.229689902299326620e-01
2.101063829787236500e+03,2.344852908670255198e-01
2.114361702127662284e+03,2.364046743065409961e-01
2.127659574468087158e+03,2.364046743065409961e-01
2.140957446808512941e+03,2.364046743065409961e-01
2.154255319148938725e+03,2.383240577460564724e-01
2.167553191489364508e+03,2.392837494658142106e-01
2.260638297872343173e+03,2.383240577460564724e-01
2.273936170212768047e+03,2.383240577460564724e-01
2.287234042553193831e+03,2.383240577460564724e-01
2.300531914893619614e+03,2.383240577460564724e-01
2.313829787234045398e+03,2.383240577460564724e-01
2.327127659574470272e+03,2.392837494658142106e-01
2.420212765957448937e+03,2.383240577460564724e-01
2.433510638297874721e+03,2.383240577460564724e-01
2.446808510638300504e+03,2.383240577460564724e-01
2.460106382978726288e+03,2.383240577460564724e-01
2.473404255319151162e+03,2.383240577460564724e-01
2.486702127659576945e+03,2.392837494658142106e-01
2.566489361702130736e+03,2.402434411855719487e-01
2.579787234042555610e+03,2.383240577460564724e-01
2.593085106382981394e+03,2.383240577460564724e-01
2.606382978723407177e+03,2.383240577460564724e-01
2.619680851063832051e+03,2.383240577460564724e-01
2.632978723404257835e+03,2.383240577460564724e-01
2.646276595744683618e+03,2.402434411855719487e-01
2.726063829787236500e+03,2.392837494658142106e-01
2.739361702127662284e+03,2.383240577460564724e-01
2.752659574468088067e+03,2.383240577460564724e-01
2.765957446808512941e+03,2.383240577460564724e-01
2.779255319148938725e+03,2.383240577460564724e-01
2.792553191489364508e+03,2.383240577460564724e-01
2.885638297872343173e+03,2.431225163448451632e-01
2.898936170212768957e+03,2.440822080646029013e-01
2.912234042553193831e+03,2.421628246250874250e-01
2.925531914893619614e+03,2.440822080646029013e-01
2.952127659574470272e+03,2.450418997843606395e-01
3.031914893617024063e+03,2.508000501029070684e-01
3.058510638297874721e+03,2.498403583831493302e-01
3.071808510638300504e+03,2.536791252621802828e-01
3.085106382978726288e+03,2.517597418226648065e-01
3.098404255319151162e+03,2.527194335424225446e-01
3.178191489361704953e+03,2.584775838609689735e-01
3.191489361702129827e+03,2.575178921412112354e-01
3.204787234042555610e+03,2.594372755807267117e-01
3.218085106382981394e+03,2.613566590202421880e-01
3.231382978723407177e+03,2.594372755807267117e-01
3.244680851063832051e+03,2.613566590202421880e-01
3.324468085106385843e+03,2.661551176190308787e-01
3.337765957446810717e+03,2.651954258992731406e-01
3.351063829787236500e+03,2.671148093387886169e-01
3.377659574468088067e+03,2.671148093387886169e-01
3.390957446808512941e+03,2.709535762178195695e-01
3.470744680851066732e+03,2.747923430968505221e-01
