time_s,OD_AU_per_cm
5.199468085106385843e+03,2.047175228429309879e+00
5.212765957446810717e+03,2.047175228429309879e+00
5.239361702127662284e+03,2.130701760682164991e+00
5.252659574468088067e+03,2.130701760682164991e+00
5.292553191489364508e+03,2.223509018740892351e+00
5.305851063829789382e+03,2.232789744546765043e+00
5.319148936170215165e+03,2.251351196158510870e+00
5.332446808510640949e+03,2.260631921964383562e+00
5.345744680851066732e+03,2.293114462284938426e+00
5.359042553191491606e+03,2.300075006639342945e+00
5.372340425531917390e+03,2.313996095348151982e+00
5.412234042553193831e+03,2.353439180023111366e+00
5.425531914893619614e+03,2.358079542926047711e+00
5.438829787234045398e+03,2.362719905828984057e+00
5.492021276595747622e+03,2.395202446149538478e+00
5.505319148936172496e+03,2.399842809052474824e+00
5.545212765957448937e+03,2.406803353406879786e+00
5.691489361702129827e+03,2.411443716309816132e+00
5.757978723404257835e+03,2.402162990503942996e+00
5.784574468085108492e+03,2.397522627601006651e+00
5.851063829787236500e+03,2.385921720343665786e+00
5.904255319148938725e+03,2.369680450183388576e+00
5.970744680851066732e+03,2.353439180023111366e+00
5.984042553191491606e+03,2.348798817120174576e+00
5.997340425531917390e+03,2.339518091314301884e+00
6.010638297872343173e+03,2.334877728411365538e+00
6.103723404255321839e+03,2.302395188090811118e+00
6.117021276595746713e+03,2.297754825187874772e+00
6.130319148936172496e+03,2.293114462284938426e+00
6.156914893617024063e+03,2.288474099382002080e+00
6.210106382978726288e+03,2.260631921964383562e+00
6.236702127659576945e+03,2.255991559061447216e+00
6.289893617021279169e+03,2.232789744546765043e+00
6.316489361702129827e+03,2.214228292935019660e+00
6.329787234042555610e+03,2.214228292935019660e+00
6.369680851063832051e+03,2.195666841323274276e+00
6.382978723404257835e+03,2.181745752614465239e+00
6.396276595744683618e+03,2.181745752614465239e+00
6.409574468085108492e+03,2.167824663905655758e+00
6.436170212765960059e+03,2.153903575196846720e+00
6.462765957446810717e+03,2.139982486488037683e+00
6.476063829787236500e+03,2.139982486488037683e+00
6.542553191489363599e+03,2.102859583264546472e+00
6.582446808510640039e+03,2.070377042943992052e+00
6.595744680851066732e+03,2.065736680041055706e+00
6.781914893617024063e+03,1.931166155855900346e+00
6.795212765957448937e+03,1.931166155855900346e+00
6.861702127659576945e+03,1.866201075214791061e+00
6.875000000000001819e+03,1.866201075214791061e+00
6.888297872340428512e+03,1.842999260700109332e+00
6.901595744680853386e+03,1.842999260700109332e+00
6.914893617021278260e+03,1.819797446185427381e+00
6.928191489361704953e+03,1.819797446185427381e+00
6.954787234042556520e+03,1.782674542961936393e+00
6.968085106382981394e+03,1.782674542961936393e+00
7.021276595744682709e+03,1.717709462320826885e+00
7.034574468085109402e+03,1.710748917966422367e+00
7.047872340425534276e+03,1.696827829257613107e+00
7.061170212765959150e+03,1.682906740548804070e+00
7.074468085106385843e+03,1.668985651839995032e+00
7.087765957446810717e+03,1.662025107485590514e+00
7.127659574468087158e+03,1.601700389747417352e+00
7.140957446808513851e+03,1.601700389747417352e+00
7.207446808510640039e+03,1.504252768785753425e+00
7.220744680851066732e+03,1.504252768785753425e+00
7.260638297872343173e+03,1.434647325241707572e+00
7.273936170212768047e+03,1.425366599435834880e+00
7.287234042553194740e+03,1.406805147824089497e+00
7.300531914893619614e+03,1.397524422018216583e+00
7.353723404255320929e+03,1.300076801056552656e+00
7.367021276595747622e+03,1.300076801056552656e+00
7.380319148936172496e+03,1.258313534930125099e+00
7.393617021276597370e+03,1.258313534930125099e+00
7.420212765957448937e+03,1.193348454289015814e+00
7.433510638297875630e+03,1.193348454289015814e+00
7.473404255319152071e+03,1.105181559133224578e+00
7.513297872340428512e+03,1.030935752686242601e+00
7.526595744680853386e+03,1.030935752686242601e+00
7.553191489361704953e+03,9.566899462392604025e-01
7.566489361702129827e+03,9.566899462392604025e-01
7.579787234042554701e+03,9.056459543069601548e-01
7.593085106382981394e+03,8.917248655981511174e-01
7.606382978723406268e+03,8.778037768893418580e-01
7.646276595744682709e+03,7.849965188306142760e-01
7.659574468085109402e+03,7.571543414129959793e-01
7.672872340425534276e+03,7.293121639953776825e-01
7.686170212765959150e+03,7.014699865777593857e-01
7.699468085106385843e+03,6.736278091601410889e-01
7.712765957446810717e+03,6.597067204513320515e-01
7.752659574468087158e+03,5.436976478779222965e-01
7.765957446808513851e+03,5.158554704603042218e-01
7.779255319148938725e+03,5.019343817514951844e-01
7.792553191489363599e+03,4.740922043338766656e-01
7.805851063829790291e+03,4.462500269162585909e-01
7.819148936170215165e+03,4.323289382074491094e-01
7.832446808510640039e+03,3.905656720810219973e-01
7.845744680851066732e+03,3.627234946634034785e-01
7.859042553191491606e+03,3.488024059545944411e-01
7.885638297872343173e+03,2.977584140222941933e-01
7.898936170212768047e+03,2.467144220899939455e-01
7.912234042553194740e+03,2.351135148326530810e-01
7.925531914893619614e+03,2.119117003179713521e-01
7.952127659574471181e+03,1.585475269342029314e-01
7.965425531914896055e+03,1.492668011283302398e-01
7.978723404255320929e+03,1.399860753224571042e-01
8.085106382978725378e+03,2.861736565198391702e-02
8.098404255319152071e+03,2.861736565198391702e-02
8.138297872340428512e+03,1.469627694317487965e-02
