time_s,cylinder_AU,cone_s2_AU,cone_s05_AU
280.299,0.17128292268479184,0.1600679694137638,0.16550552251486833
280.329,-0.020900594732370437,0.15870858113848768,0.1641461342395922
280.359,0.16788445199660154,0.15700934579439252,0.16227697536108754
280.388,0.16601529311809687,0.1554800339847069,0.16074766355140188
280.418,0.1641461342395922,0.15378079864061173,0.15904842820730672
280.448,0.16227697536108754,0.1522514868309261,0.15734919286321158
280.477,0.16040781648258284,0.15055225148683093,0.1556499575191164
280.507,0.15853865760407818,0.14902293967714528,0.15395072217502126
280.536,-0.03585386576040782,0.1471537807986406,0.1522514868309261
280.566,-0.03585386576040782,0.14528462192013594,0.15055225148683093
280.596,-0.03925233644859813,0.14358538657604078,0.1491928632115548
280.625,-0.03942225998300765,0.1417162276975361,0.1469838572642311
280.655,-0.03942225998300765,0.14018691588785046,0.1447748513169074
280.685,-0.03942225998300765,,0.1427357689039932
280.714,-0.03942225998300765,,0.14086661002548853
280.744,-0.03602378929481733,,0.13882752761257433
280.774,-0.03585386576040782,0.1318606627017842,0.13695836873406966
280.803,-0.03585386576040782,,0.1349192863211555
280.833,0.12829226847918437,,0.13305012744265082
280.862,0.12574341546304166,,0.1308411214953271
280.892,0.12370433305012746,,0.12897196261682242
280.922,0.12132540356839423,,0.12710280373831775
280.951,0.11911639762107051,,0.12489379779099406
280.981,0.1167374681393373,,0.12285471537807986
281.011,0.11486830926083264,,0.1209855564995752
281.04,0.11265930331350893,,0.118946474086661
281.07,-0.04078164825828377,,0.1167374681393373
281.1,-0.03974665945778946,,0.1146983857264231
281.129,-0.03974665945778946,,0.11282922684791843
281.159,-0.03974665945778946,,0.11079014443500426
281.189,0.10178419711129992,,0.10858113848768054
281.218,0.09957519116397621,,0.1068819031435854
281.248,0.09770603228547153,,0.1048428207306712
281.277,0.09549702633814783,,0.102803738317757
281.307,0.09345794392523366,,0.10076465590484283
281.337,0.09124893797790995,,0.09872557349192863
281.366,0.08920985556499576,,0.09668649107901445
281.396,0.08700084961767206,,0.09481733220050978
281.426,0.08479184367034835,,0.09260832625318607
281.455,0.08241291418861513,,0.09056924384027187
281.485,0.08054375531011046,0.09413763806287172,0.0885301614273577
281.515,0.07850467289719626,0.09192863211554801,0.08663145062982529
281.544,0.07663551401869159,0.09039932030586237,0.0853016142735769
281.574,0.0745964316057774,0.08836023789294817,0.08360237892948175
281.603,0.0725573491928632,0.086321155480034,0.08156329651656755
281.633,0.07068819031435854,0.08462192013593883,0.07969413763806288
281.663,0.06881903143585387,0.08275276125743417,0.0778249787595582
281.692,-0.040611724723874254,0.0808836023789295,0.07612574341546305
281.722,-0.04078164825828377,0.07918436703483434,0.07425658453695837
281.752,-0.04078164825828377,0.07731520815632965,0.0723874256584537
281.781,-0.04095157179269329,0.0756159728122345,0.07068819031435854
281.811,0.059983007646559054,0.07391673746813934,0.06881903143585387
281.841,0.05828377230246389,0.07204757858963466,0.06728971962616823
281.87,0.05675446049277825,0.0703483432455395,0.06542056074766354
281.9,0.0550552251486831,0.06881903143585387,0.0637213254035684
281.929,0.05369583687340697,0.06728971962616823,0.062022090059473234
281.959,0.05199660152931182,0.06542056074766354,0.060322854715378085
281.989,0.05046728971962616,0.0637213254035684,0.05862361937128292
282.018,-0.040611724723874254,0.06219201359388276,0.056924384027187774
282.048,-0.04078164825828377,0.0604927782497876,0.05522514868309261
282.078,-0.04078164825828377,0.05913338997451148,0.05386576040781649
282.107,-0.041121495327102804,0.05760407816482584,0.05233644859813084
282.137,0.04350042480883603,0.055904842820730674,0.0508071367884452
282.167,0.041971112999150385,0.05454545454545454,0.049277824978759564
282.196,0.04095157179269329,0.053016142735768906,0.04791843670348343
282.226,0.03976210705182668,0.05131690739167375,0.04638912489379779
282.255,0.038402718776550555,0.050127442650807146,0.045029736618521665
282.285,0.03721325403568394,0.048768054375531014,0.04384027187765506
282.315,-0.040611724723874254,0.04723874256584537,0.04248088360237893
282.344,-0.04078164825828377,0.04604927782497876,0.04095157179269329
282.374,-0.040611724723874254,0.044689889549702634,0.03976210705182668
282.404,-0.04065093784719954,0.04333050127442651,0.038402718776550555
282.433,0.03194562446898896,0.042141036533559904,0.037043330501274424
282.463,0.030926083262531864,0.041121495327102804,0.03602378929481733
282.493,0.030076465590484283,0.04010195412064571,0.034834324553950725
282.522,0.02905692438402719,0.038742565845369586,0.03364485981308411
282.552,0.02820730671197961,0.037383177570093455,0.03211554800339847
282.582,-0.040905229010581606,0.03636363636363637,0.03109600679694138
282.611,-0.040809968847352045,0.03534409515717927,0.030076465590484283
282.641,-0.04041565910724789,0.03415463041631266,0.02905692438402719
282.67,-0.040611724723874254,0.03313508920985557,0.028037383177570093
282.7,-0.04057774001699235,0.03228547153780799,0.027187765505522515
282.73,0.022939677145284623,0.031265930331350895,0.02616822429906542
282.759,0.02225998300764656,0.0302463891248938,0.02514868309260833
282.789,0.0215802888700085,0.029226847918436705,0.024299065420560748
282.819,0.020730671197960918,0.02820730671197961,0.02344944774851317
282.848,0.01988105352591334,0.027357689039932034,0.022429906542056077
282.878,0.019371282922684793,0.026508071367884453,0.0215802888700085
282.908,0.018691588785046728,0.02548853016142736,0.020730671197960918
282.937,0.01784197111299915,0.024638912489379782,0.020050977060322855
282.967,-0.009005947323704333,0.023959218351741716,0.019201359388275278
282.996,-0.009005947323704333,0.02310960067969414,0.018521665250637212
283.026,-0.009005947323704333,0.02225998300764656,0.017332200509770603
283.056,-0.009005947323704333,0.02141036533559898,0.016822429906542057
283.085,-0.009005947323704333,0.020560747663551402,0.01631265930331351
283.115,-0.009005947323704333,0.01988105352591334,0.015632965165675448
283.145,-0.009005947323704333,0.019201359388275278,0.014953271028037382
283.174,-0.009005947323704333,0.018521665250637212,0.014443500424808837
283.204,-0.009005947323704333,0.018011894647408665,0.01393372982158029
283.234,-0.009005947323704333,0.017162276975361088,0.013254035683942227
283.263,-0.009005947323704333,0.01665250637213254,0.01274426508071368
283.293,-0.009005947323704333,0.01597281223449448,0.012064570943075616
283.322,0.013254035683942227,0.015293118096856415,0.011724723874256585
283.352,0.01274426508071368,0.01478334749362787,0.011045029736618521
283.382,0.012234494477485133,0.014103653355989804,0.01070518266779949
283.411,0.011724723874256585,0.013763806287170775,0.010025488530161428
283.441,0.011214953271028038,0.01308411214953271,0.009685641461342397
283.471,-0.040611724723874254,0.01274426508071368,0.00917587085811385
283.5,-0.040611724723874254,0.012064570943075616,0.008836023789294817
283.53,-0.040611724723874254,0.01155480033984707,0.00832625318606627
283.56,-0.040611724723874254,0.011045029736618521,0.007816482582837724
283.589,-0.040611724723874254,0.01070518266779949,0.0076465590484282074
283.619,-0.0356839422259983,0.010195412064570943,0.007306711979609176
283.648,-0.0356839422259983,0.009685641461342397,0.006796941376380629
283.678,-0.0356839422259983,0.009345794392523364,0.006627017841971113
283.708,-0.0356839422259983,0.008836023789294817,0.006287170773152082
283.737,-0.009005947323704333,0.008666100254885302,0.005947323704333051
283.767,-0.009005947323704333,0.008496176720475786,0.005607476635514019
283.797,-0.03925233644859813,0.007816482582837724,0.005267629566694988
283.826,-0.03925233644859813,0.007476635514018691,0.005097706032285472
283.856,-0.04041565910724789,0.007306711979609176,0.0047578589634664405
283.886,-0.04044180118946475,0.006796941376380629,0.004587935429056925
283.915,-0.04041565910724789,0.006627017841971113,0.004248088360237893
283.945,-0.040809968847352045,0.006287170773152082,0.0040781648258283775
283.975,-0.03930897762673463,0.005947323704333051,0.003908241291418862
284.004,-0.03925233644859813,0.005777400169923535,0.00356839422259983
284.034,-0.03925233644859813,0.005607476635514019,0.0033984706881903144
284.063,-0.03951935914552739,0.005267629566694988,0.003228547153780799
284.093,-0.04078164825828377,0.005097706032285472,0.0030586236193712833
284.123,-0.040684549095764036,0.0047578589634664405,0.0028887000849617673
284.152,-0.04100012137395315,0.004587935429056925,0.002718776550552252
284.182,-0.04080779034050063,0.004248088360237893,0.002548853016142736
284.212,-0.04180118946474087,0.004248088360237893,0.0023789294817332203
284.241,-0.04180118946474087,0.0040781648258283775,0.0022090059473237043
284.271,0.006117247238742567,0.003908241291418862,0.0022090059473237043
284.301,0.006117247238742567,0.00356839422259983,0.0020390824129141887
284.33,0.005947323704333051,0.0033984706881903144,0.0020390824129141887
284.36,-0.018521665250637212,0.003228547153780799,0.0018691588785046728
284.389,-0.02344944774851317,0.0030586236193712833,0.0016992353440951572
