xi,H_um
0.37613,9.8191
0.37671,9.8191
0.37960,9.6482
0.38018,9.6482
0.38075,9.6909
0.38133,9.6909
0.38191,9.6055
0.38249,9.6055
0.38306,9.6055
0.38364,9.6055
0.38422,9.5841
0.38480,9.5841
0.38537,9.5841
0.38595,9.5841
0.38653,9.5841
0.38711,9.5841
0.38768,9.5841
0.38826,9.5841
0.38884,9.5841
0.38942,9.5841
0.38999,9.5841
0.39057,9.5841
0.39115,9.5841
0.39173,9.5841
0.39230,9.5841
0.39288,9.5841
0.39346,9.5841
0.39404,9.5841
0.39461,9.5841
0.39519,9.5841
0.39577,9.5841
0.39635,9.5841
0.39692,9.5841
0.39750,9.5841
0.39808,9.5841
0.39866,9.5841
0.39923,9.5841
0.39981,9.5841
0.40039,9.5841
0.40097,9.5841
0.40154,9.5627
0.40212,9.5627
0.40270,9.5627
0.40328,9.5627
0.40385,9.5627
0.40443,9.5627
0.40501,9.5627
0.40559,9.5627
0.40616,9.5627
0.40674,9.5627
0.40732,9.5627
0.40789,9.5627
0.40847,9.5627
0.40905,9.5627
0.40963,9.5627
0.41020,9.5627
0.41078,9.5627
0.41136,9.5627
0.41194,9.5627
0.41251,9.5627
0.41309,9.5627
0.41367,9.5627
0.41425,9.5627
0.41482,9.5627
0.41540,9.5627
0.41598,9.5627
0.41656,9.5627
0.41713,9.5627
0.41771,9.5414
0.41829,9.5414
0.41887,9.5414
0.41944,9.5414
0.42002,9.5414
0.42060,9.5414
0.42118,9.5414
0.42175,9.5414
0.42233,9.5200
0.42291,9.5200
0.42349,9.5200
0.42406,9.5200
0.42464,9.5200
0.42522,9.5200
0.42580,9.5200
0.42637,9.5200
0.42695,9.5200
0.42753,9.5200
0.42811,9.5200
0.42868,9.5200
0.42926,9.5200
0.42984,9.5200
0.43042,9.5200
0.43099,9.5200
0.43157,9.5200
0.43215,9.5200
0.43273,9.5200
0.43330,9.5200
0.43388,9.5200
0.43446,9.5200
0.43504,9.5200
0.43561,9.5200
0.43619,9.5200
0.43677,9.5200
0.43735,9.5200
0.43792,9.5200
0.43850,9.5200
0.43908,9.5200
0.43966,9.5200
0.44023,9.5200
0.44081,9.5200
0.44139,9.5200
0.44197,9.5200
0.44254,9.5200
0.44312,9.5200
0.44370,9.5200
0.44427,9.5200
0.44485,9.5200
0.44543,9.5200
0.44601,9.5200
0.44658,9.5200
0.44716,9.5200
0.44774,9.4986
0.44832,9.4986
0.44889,9.4986
0.44947,9.4986
0.45005,9.4986
